Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3PoZJKMmMBb1uOfCB0MEAh,"Breaking the Habit (lofi remix)","sad vocal lofi covers","Chill Space;Theo Juarez;saint rumi",2024-05-24,196500,6,false,thegoodfm,2024-05-24T15:19:29Z,"lo-fi,jazz beats","Chill Space Records",0.615,0.37,5,-11.353,0,0.0949,0.823,0.0485,0.0718,0.421,80.078,4
spotify:track:4RL77hMWUq35NYnPLXBpih,"Skinny Love","Birdy","Birdy",2011-11-04,201080,73,false,thegoodfm,2022-05-19T17:28:52Z,"","Atlantic Records UK",0.379,0.29,4,-8.487,1,0.0513,0.952,0.000996,0.118,0.184,165.997,4
spotify:track:5uCax9HTNlzGybIStD3vDh,"Say You Won't Let Go","Back from the Edge","James Arthur",2016-10-28,211477,87,false,thegoodfm,2023-08-28T15:50:27Z,"soft pop","Columbia",0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,4
spotify:track:3rTnGUeDrnZV22DvRuUuXr,"Wait","Hurry Up, We're Dreaming","M83",2011,343253,64,false,thegoodfm,2023-08-28T15:59:46Z,"","Mute",0.437,0.229,2,-10.514,1,0.0308,0.221,0.0599,0.0935,0.0754,147.911,4
spotify:track:5ks1YW8tqMEoTSMAemx4QB,"Ghost (lofi remix)","sad vocal lofi covers","Melvyn Nielsen;kibyuna;Chill Space",2024-05-24,154285,6,false,thegoodfm,2024-05-24T15:19:29Z,"dark ambient,lo-fi","Chill Space Records",0.6,0.252,2,-11.637,1,0.0328,0.775,0.185,0.151,0.479,77.02,4
spotify:track:5qmPFOr77zlw6wB0wQyJMh,"the view from above","the view from above","in love and war;Chill Space",2024-04-26,143283,0,true,thegoodfm,2024-05-05T13:41:07Z,"lo-fi","Chill Space Records",0.636,0.244,2,-12.452,1,0.0775,0.842,0.000747,0.133,0.191,133.882,5
spotify:track:75ZvA4QfFiZvzhj2xkaWAh,"I Fall Apart","Stoney (Deluxe)","Post Malone",2016-12-09,223346,78,true,thegoodfm,2023-08-28T15:53:02Z,"","Mercury Records/Republic Owned",0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.946,4
spotify:track:0D1sMqzCYbhrruYPONJ3kS,"How To Be Friends","How To Be Friends","Martin Jasper",2021-09-24,208419,0,false,thegoodfm,2022-05-19T17:28:52Z,"","Cloud 9 Digital",0.617,0.232,9,-11.253,1,0.0458,0.909,0,0.104,0.386,134.652,3
spotify:track:77QvjvAIVStFZdBwbDhf8G,"Sugar (lofi remix)","sad vocal lofi covers","Lifondi;paddybeaz;Chill Space",2024-05-24,169852,6,false,thegoodfm,2024-05-24T15:19:29Z,"jazz beats,lo-fi","Chill Space Records",0.77,0.338,0,-12.973,1,0.0286,0.842,0.483,0.116,0.429,101.997,4
spotify:track:6c7N5N7amAOpeMykjlovjI,"Walked Through Hell","Walked Through Hell","Anson Seabra",2020-11-20,216864,56,false,thegoodfm,2022-05-19T17:28:52Z,"","Seabra Songs",0.508,0.404,10,-11.092,1,0.0788,0.664,0,0.104,0.129,81.713,4
spotify:track:55Am8neGJkdj2ADaM3aw5H,"Train Wreck","Back from the Edge","James Arthur",2016-10-28,208864,78,false,thegoodfm,2022-05-19T17:28:52Z,"soft pop","Columbia",0.311,0.485,6,-5.726,0,0.0365,0.701,0,0.0726,0.225,77.355,4
